symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETHUSD,2019-05-15 00:00:00+00:00,248.088497772,249.8935480538,218.1684045836,218.9228580949,1003176.0368935202,248.088497772,249.8935480538,218.1684045836,218.9228580949,1003176.0368935202,0.0,1.0
ETHUSD,2019-05-16 00:00:00+00:00,264.3421440643,278.9599864827,243.0162050868,248.2000728492,1781099.98476162,264.3421440643,278.9599864827,243.0162050868,248.2000728492,1781099.98476162,0.0,1.0
ETHUSD,2019-05-17 00:00:00+00:00,245.0212277613,268.8183364003,225.0553201527,264.257637143,1455996.20971015,245.0212277613,268.8183364003,225.0553201527,264.257637143,1455996.20971015,0.0,1.0
ETHUSD,2019-05-18 00:00:00+00:00,234.3204922705,248.3876894779,230.7764586556,246.6775355855,1037757.5582983298,234.3204922705,248.3876894779,230.7764586556,246.6775355855,1037757.5582983298,0.0,1.0
ETHUSD,2019-05-19 00:00:00+00:00,260.2316946826,264.13551509,231.967521599,233.7121361645,1259189.46472604,260.2316946826,264.13551509,231.967521599,233.7121361645,1259189.46472604,0.0,1.0
ETHUSD,2019-05-20 00:00:00+00:00,251.0997483899,259.2473162054,240.5110021158,258.9307741719,1067264.23080514,251.0997483899,259.2473162054,240.5110021158,258.9307741719,1067264.23080514,0.0,1.0
ETHUSD,2019-05-21 00:00:00+00:00,253.8776777613,262.5158179433,246.9664393466,251.4543225155,878512.81817796,253.8776777613,262.5158179433,246.9664393466,251.4543225155,878512.81817796,0.0,1.0
ETHUSD,2019-05-22 00:00:00+00:00,244.6131921256,260.5858626221,242.1175221317,253.7605826889,600795.9474147201,244.6131921256,260.5858626221,242.1175221317,253.7605826889,600795.9474147201,0.0,1.0
ETHUSD,2019-05-23 00:00:00+00:00,244.7860938246,247.4860969747,230.8149403061,243.6565190463,689806.43317729,244.7860938246,247.4860969747,230.8149403061,243.6565190463,689806.43317729,0.0,1.0
ETHUSD,2019-05-24 00:00:00+00:00,249.0271751262,254.5544779803,241.8045110274,244.8145357553,509003.08884651,249.0271751262,254.5544779803,241.8045110274,244.8145357553,509003.08884651,0.0,1.0
ETHUSD,2019-05-25 00:00:00+00:00,250.421399348,257.523445444,247.4220030518,249.0093240122,446383.3876991799,250.421399348,257.523445444,247.4220030518,249.0093240122,446383.3876991799,0.0,1.0
ETHUSD,2019-05-26 00:00:00+00:00,266.2074472018,270.8034778024,245.2601439522,250.6654997512,644132.55301386,266.2074472018,270.8034778024,245.2601439522,250.6654997512,644132.55301386,0.0,1.0
ETHUSD,2019-05-27 00:00:00+00:00,271.1227228396,279.8427172199,262.6356416603,267.0022324446,855471.3973447401,271.1227228396,279.8427172199,262.6356416603,267.0022324446,855471.3973447401,0.0,1.0
ETHUSD,2019-05-28 00:00:00+00:00,271.2854509253,276.0324616553,264.6435611923,271.2334106901,601797.48346716,271.2854509253,276.0324616553,264.6435611923,271.2334106901,601797.48346716,0.0,1.0
ETHUSD,2019-05-29 00:00:00+00:00,269.2323030936,274.0799713602,260.841012803,271.2905684406,609006.81821389,269.2323030936,274.0799713602,260.841012803,271.2905684406,609006.81821389,0.0,1.0
ETHUSD,2019-05-30 00:00:00+00:00,254.4779227688,288.5023314048,239.9791697762,269.4010738244,1327431.4901550799,254.4779227688,288.5023314048,239.9791697762,269.4010738244,1327431.4901550799,0.0,1.0
ETHUSD,2019-05-31 00:00:00+00:00,267.6066773062,268.5733959926,245.2153558924,254.5813665662,953513.0317803699,267.6066773062,268.5733959926,245.2153558924,254.5813665662,953513.0317803699,0.0,1.0
ETHUSD,2019-06-01 00:00:00+00:00,264.4053929069,275.8673120073,260.7854991894,267.7405321346,647644.4265911401,264.4053929069,275.8673120073,260.7854991894,267.7405321346,647644.4265911401,0.0,1.0
ETHUSD,2019-06-02 00:00:00+00:00,269.0132010839,273.46198018,263.3549811618,264.3748542873,403336.77171866,269.0132010839,273.46198018,263.3549811618,264.3748542873,403336.77171866,0.0,1.0
ETHUSD,2019-06-03 00:00:00+00:00,249.6901370431,270.5142686421,247.2649071626,269.1117982917,568985.98163911,249.6901370431,270.5142686421,247.2649071626,269.1117982917,568985.98163911,0.0,1.0
ETHUSD,2019-06-04 00:00:00+00:00,241.2796781816,251.3853527751,234.3991155145,249.6872028596,640877.99951142,241.2796781816,251.3853527751,234.3991155145,249.6872028596,640877.99951142,0.0,1.0
ETHUSD,2019-06-05 00:00:00+00:00,245.8902905371,250.0864956952,237.5102100586,241.3793776756,475071.9053186,245.8902905371,250.0864956952,237.5102100586,241.3793776756,475071.9053186,0.0,1.0
ETHUSD,2019-06-06 00:00:00+00:00,249.0834790663,250.9395791842,235.8484770176,245.8351262896,439034.7806341801,249.0834790663,250.9395791842,235.8484770176,245.8351262896,439034.7806341801,0.0,1.0
ETHUSD,2019-06-07 00:00:00+00:00,249.0522806347,253.5427598256,243.8564085575,249.1402569331,489081.59693778,249.0522806347,253.5427598256,243.8564085575,249.1402569331,489081.59693778,0.0,1.0
ETHUSD,2019-06-08 00:00:00+00:00,243.5848546533,250.7182568343,240.7874740633,249.0346647,241075.3403471,243.5848546533,250.7182568343,240.7874740633,249.0346647,241075.3403471,0.0,1.0
ETHUSD,2019-06-09 00:00:00+00:00,231.1270177824,244.746909324,226.4419182171,243.7723398254,436774.6409195299,231.1270177824,244.746909324,226.4419182171,243.7723398254,436774.6409195299,0.0,1.0
ETHUSD,2019-06-10 00:00:00+00:00,247.1562514333,247.862610267,227.2256788508,231.1436468704,477493.6512214299,247.1562514333,247.862610267,227.2256788508,231.1436468704,477493.6512214299,0.0,1.0
ETHUSD,2019-06-11 00:00:00+00:00,244.642248239,248.3747210914,236.8867337456,247.119977619,377855.90055586,244.642248239,248.3747210914,236.8867337456,247.119977619,377855.90055586,0.0,1.0
ETHUSD,2019-06-12 00:00:00+00:00,261.6120560311,262.4995344488,242.6474940809,244.7909182925,573056.64747967,261.6120560311,262.4995344488,242.6474940809,244.7909182925,573056.64747967,0.0,1.0
ETHUSD,2019-06-13 00:00:00+00:00,254.8247462181,263.4888858851,253.9897725237,262.5221285206,428323.71294614,254.8247462181,263.4888858851,253.9897725237,262.5221285206,428323.71294614,0.0,1.0
ETHUSD,2019-06-14 00:00:00+00:00,263.2400542196,265.3424239008,250.6903712291,254.7574671408,550235.17547266,263.2400542196,265.3424239008,250.6903712291,254.7574671408,550235.17547266,0.0,1.0
ETHUSD,2019-06-15 00:00:00+00:00,268.4063917952,272.7700424028,261.0716728641,263.0444833354,429588.85126552,268.4063917952,272.7700424028,261.0716728641,263.0444833354,429588.85126552,0.0,1.0
ETHUSD,2019-06-16 00:00:00+00:00,268.0636352049,277.6674910621,263.2745057728,268.5545830784,688249.31519529,268.0636352049,277.6674910621,263.2745057728,268.5545830784,688249.31519529,0.0,1.0
ETHUSD,2019-06-17 00:00:00+00:00,273.4969991916,275.7665683181,267.0612038596,268.0509102878,554510.9002769599,273.4969991916,275.7665683181,267.0612038596,268.0509102878,554510.9002769599,0.0,1.0
ETHUSD,2019-06-18 00:00:00+00:00,264.6380204079,273.9557309365,261.0861018372,273.5337674085,569092.445644,264.6380204079,273.9557309365,261.0861018372,273.5337674085,569092.445644,0.0,1.0
ETHUSD,2019-06-19 00:00:00+00:00,268.461353812,270.0726257728,263.6672734195,264.6163007792,476447.3215215399,268.461353812,270.0726257728,263.6672734195,264.6163007792,476447.3215215399,0.0,1.0
ETHUSD,2019-06-20 00:00:00+00:00,270.6288276214,273.3190802384,266.1415684289,268.5684405423,383726.7780305601,270.6288276214,273.3190802384,266.1415684289,268.5684405423,383726.7780305601,0.0,1.0
ETHUSD,2019-06-21 00:00:00+00:00,294.7172073189,297.1996925019,272.0270127409,272.0518886131,709086.77741657,294.7172073189,297.1996925019,272.0270127409,272.0518886131,709086.77741657,0.0,1.0
ETHUSD,2019-06-22 00:00:00+00:00,310.2317669173,315.3214708385,293.0093293992,295.2408022231,775943.52308973,310.2317669173,315.3214708385,293.0093293992,295.2408022231,775943.52308973,0.0,1.0
ETHUSD,2019-06-23 00:00:00+00:00,308.244051134,321.2741714199,305.4331490012,310.5237574866,675237.60831528,308.244051134,321.2741714199,305.4331490012,310.5237574866,675237.60831528,0.0,1.0
